ID,Status,Business Unit,Privacy Categorization,Issue Title,Issue Description,Date Issue Occurred,Date Issue Identified,Explanation for Delay in Issue Creation,Repeat Issue,Link Issues Below,Hyperlinks,Issue Source,Identifying Party,Related to an Incident,Incident ID,Engagement Title,Regulatory Reference ID,RCA Category,Date RCA Completed,RCA Description,Remediation Strategy,Issue Owner,Issue Approver,Issue Owner Record Manager,Issue Approver Record Manager,Interested Parties,fxValidateRoleAssignments,Impacted Countries,Impacted Business Area,Other Impacted Countries,Additional Impacted Areas,Impacted Ecosystems,Impacted Legal Entities,Impacted Subsidiaries,Impacted Products,Other Impacted Products,Impacted SubProducts,Risk Response,Issue Due Date,Not an Issue Justification,Date First Accepted,Date of Acceptance Renewal,Risk Acceptance Justification,Issue Severity Rating,Issue Type,Issue Rating Justification,Risk Domain,Customer Impact,Compliance Impact,Approval,Approved by,Date Approved,Issue Open Date,RCA To be Completed By,Validation Failure Count,Date Closed,Date of Last Progress Update,Issue Original Due Date,Issue Acceptance Count,Issue Due Date Extension Count,Issue Reassessment Count,Number of Action Plans,Number of Unresolved Action Plans,Issue Current Due Date,Issue ID,Date 30 After Identification,Issue Health Check,Issue Progress Updates,Issue Action Plans,Issue Acceptance,Issue Date Extensions,Extension Type,Requested Closure Type,Closure Request Justification,Confirm Issue Record Complete,Internal Validation - Action Plans,Internal Validation - Remediation,Internal Validation - Record Completeness,Confirm Internal Validation,Issue Internal Validation Justification,Issue Internal Validation Sign-Off,Issue Internal Validation Sign-off Date,Create Date,Created By,Last Modified Date,Last Modified By,System Status,Module
1001980,Closed,Cash - PE - Financial Products - Bitcoin - Bitcoin Network,,Certain Denylisted customers performed prohibited BTC transactions,"Denylisted customers performed prohibited BTC transactions
 

 Control Description:
 Denylisted customers are prohibited from executing BTC on-chain and LTN deposit and withdrawal transactions.  
 

 Testing Results:
 Out of 11,494 attempted Bitcoin transactions (including on-chain withdrawals/deposits and Lightning send/receive) by denylisted customers in the review period, 195 were identified as successful (1.69%). Of these, 91 transactions occurred more than six hours after the denylist timestamp (to account for time zone differences) and were associated with 21 unique customer tokens.
 

 GCMT identified the following causes for the prohibited transactions transacting successfully:
 1) A bug in the system’s flag logic resulted in the Denylist requirement not being applied as expected, allowing BTC on-chain and LTN deposit and withdrawal transactions from denylisted customers to process successfully.
 

 2) The system inappropriately prioritizes business eligibility checks over of denylist status. The following business eligibility categories were given precedence over denylist-related transaction blocking:
 - BUSINESS_REMEDIATION
 - PERSONAL_USE_VIOLATION
 - BUSINESS_USE_VIOLATION 
 - KYC_ADVERSE_ACTION
 - SOURCE_OF_FUNDS_ERROR",,09/15/2025,,No,,,Second Line of Defense (2LoD) Review of First Line of Defense (1LoD) Activities,GCMT,No,,,,Technology,10/01/2025,"See attached the draft report with RCA description - 
 

 GCMT identified the following causes for the prohibited transactions transacting successfully:
 1) A bug in the system’s flag logic resulted in the Denylist requirement not being applied as expected, allowing BTC on-chain and LTN deposit and withdrawal transactions from denylisted customers to process successfully.
 

 2) The system inappropriately prioritizes business eligibility checks over of denylist status. The following business eligibility categories were given precedence over denylist-related transaction blocking:
 - BUSINESS_REMEDIATION
 - PERSONAL_USE_VIOLATION
 - BUSINESS_USE_VIOLATION 
 - KYC_ADVERSE_ACTION
 - SOURCE_OF_FUNDS_ERROR",Engineering updated the development logic and fixed the relevant bug.,Milly Rowett,Melody Xu,,,,Valid,United States,Cash - Product - Bitcoin,,"Product
 Sub-Product",,,,Cash App,,BTC,Remediation,10/01/2025,,,,,Low,Weakness – the process or control exists but is not strong enough or is not operating effectively to manage the risk.,"Minimal, localized consequences with negligible impact on overall business operations or reputation. Escalation is unlikely due to effective containment or the isolated nature of the issue.",Compliance | Financial Crime | Anti-Money Laundering & Terrorist Financing (1000126),No,No,Approve: Remediate Issue,Melody Xu,10/01/2025,10/02/2025,11/16/2025,3,10/04/2025,10/04/2025,10/01/2025,,,,1,0,10/01/2025,1001980,10/15/2025,,QA feedbacks addressed,Fix the relevant bug and adjust logic and deploy (1000671),,,Issue,Completed Issue Remediation,"1) This bug was fixed: https://github.com/squareup/cash-server/pull/16767
 

 2) The system was updated to prioritise denylisting over any business eligibilities: https://github.com/squareup/cash-server/pull/29314",Yes,Yes,Yes,Yes,Accept,"1) This bug was fixed: https://github.com/squareup/cash-server/pull/16767. Tester reviewed the logic adjustment made to remediate where a flag clean up actually caused this bug where the DL requirement is no longer being shown to a denylisted customer trying to withdraw. 
 

 2) The system was updated to prioritise denylisting over any business eligibilities: https://github.com/squareup/cash-server/pull/29314. Tester confirmed the adjustment was appropriate: 
 Comment on lines -300 to +302
  val violations = policyResponse.violations_with_metadata.map { it.name }
  val reason = violations.mapNotNone { mapViolationV2ToCryptoReason(it) }.firstOrNone()
  val violations = policyResponse.violations_with_metadata
  val reason = violations.mapNotNone { mapViolationToCryptoReason(it) }.firstOrNone()
 Author
 @sanju-paras sanju-paras(Sanju Parasuraman) on Aug 13
 Pass the whole Violation with metadata so we can differentiate between SCAM_SUSPENDED vs DENY_LISTED violations",Melody Xu,10/01/2025,10/02/2025 2:09:49 AM,Melody Xu,10/04/2025 5:05:48 AM,Melody Xu,active,New Module
1003963,Closed,Counsel - Cash Compliance,,CTR Reporting Exception - Southwest Border GTO,"On April 14, 2025, Cash App failed to file timely CTRs for three paper money deposits between $230 and $300 that occurred at Walmart locations within the scope of FinCEN’s Southwest Border GTO. These transactions were not detected by the Exception Monitoring Report, which was designed to flag deposits of $200 or more for reporting.
 

 The issue was first identified on September 12, 2025, when Compliance Analytics reviewed the Exception Monitoring Report and discovered the missed exceptions. Further investigation revealed two main contributing factors. First, a subset of nine-digit zip codes provided by InComm was not properly recognized by Cash App’s $190 deposit limit control, allowing transactions above the limit at certain Walmart locations. Second, the Exception Monitoring Report contained a timezone conversion bug. Instead of converting the correct transaction timestamp field, the report used a truncated date field, which caused the transactions to appear outside of the GTO’s effective period.
 

 As a result of these combined errors, the exceptions were missed, and the related CTRs were filed late on September 15, 2025. Follow-up review confirmed that no additional missed exceptions were identified beyond the three transactions at issue.",04/14/2025,09/12/2025,,No,,,Self-Identified - First Line of Defense (1LoD),Compliance Analytics,,,,,Technology,10/02/2025,"The primary root cause of this issue was a technology failure in the Exception Monitoring Report logic, compounded by data handling limitations in the deposit control process. Specifically:
 

 The Exception Monitoring Report incorrectly used the movement_date (DATE) field rather than the movement_at (DATETIME) field during timezone conversion. This caused deposit timestamps to be shifted back one day for Mountain and Central time zone locations, making three April 14, 2025 deposits appear to fall outside the GTO period.
 

 InComm-provided data contained nine-digit zip codes that were not recognized by Cash App’s $190 deposit limit control. As a result, certain Walmart locations were not subject to the intended restriction between midnight and 6PM ET on April 14, 2025.
 

 Participating Walmart stores did not implement InComm’s $190 deposit limit, increasing reliance on Cash App’s internal controls.
 

 These combined defects directly led to the failure to flag three qualifying deposits, resulting in late CTR filings.","-Ensure all CTR-eligible transactions are detected and reported in compliance with GTO requirements.
 -Correct the flawed Exception Monitoring Report logic to ensure proper timezone conversion.
 -File late CTRs with FinCEN.
 -Conduct retrospective review for additional missed exceptions.
 

 Success Criteria:
 -Zero missed CTR exceptions attributable to system or data-handling errors.
 -Successful validation of Exception Monitoring Report logic against historical and test data.
 -Documented partner alignment on deposit limit enforcement requirements.",Anastasiya Magic,Ken Triemstra,Megan Zheng,Megan Zheng,,Valid,United States,Risk,,,,,,,,,Remediation,11/01/2025,,,,,Moderate,Weakness – the process or control exists but is not strong enough or is not operating effectively to manage the risk.,"The issue resulted in late CTR filings, creating regulatory exposure, but was contained to three transactions and corrected. No systemic, ongoing reporting failures were identified beyond this occurrence.",Compliance | Financial Crime | Anti-Money Laundering & Terrorist Financing (1000126),No,Yes,Approve: Remediate Issue,Megan Zheng,10/02/2025,10/03/2025,11/17/2025,1,10/29/2025,,11/01/2025,,,,1,0,11/01/2025,1003963,10/12/2025,,,Southwest Border GTO – CTR Reporting Exception Remediation and Validation (1004620),,,Issue,Completed Issue Remediation,Remediation has been completed. Requesting closure. Thanks!,Yes,Yes,Yes,Yes,Accept,"This MAP is has been addressed by completing the following:
 3 Late CTRs filed (Sept 15, 2025)
 Engineering fix controls (Sept 15, 2025)
 Comprehensive review to ensure no other exceptions (completed Sept 15, 2025)
 Conversation with InComm concerning GTO implementation ensuring compliance with rule (Sept 25, 2025).",Ken Triemstra,10/28/2025,10/03/2025 3:30:49 AM,Megan Zheng,10/29/2025 8:57:02 AM,Ken Triemstra,active,New Module
1005282,Risk Accepted,Cash - Product - Bitcoin,,Dual eIDV and dIDV requirements for BTC eligibility not enforced in some instances,"Control Description:
 Customers must pass two identity checks (electronic and documentary verification) before they can use any Bitcoin services. The system automatically blocks all Bitcoin transactions until both checks are successfully completed. Once both checks pass, Bitcoin access is automatically granted to the customer.
 

 Testing Results:
 Analysis was performed across BTC withdrawal transactions for the review population, with deposit reversals removed from the exception counts for 4/9/2025 - 9/3/2025.
 - Before April 9, 2025: 19,709 of 1,647,834 transactions failed the dual-IDV control (1.20% exception rate).
 - On/After April 9, 2025 (through September 3, 2025): 4,284 of 1,527,139 transactions failed the dual-IDV control (0.28% exception rate).
 

 Root Cause
 Per review from GCMT and Engineering, the potential root cause appears to stem from data sourcing errors in how DIDV/EIDV status is referenced during Bitcoin eligibility checks:
 - In confirmed breach cases, customers had a DIDV record but lacked a corresponding EIDV record.
 - The control logic might have defaulted null DIDV values to “verified”, incorrectly granting eligibility.
 

 This indicates a potential data sourcing error, where the system feeding Bitcoin access decisions does not consistently utilize or reconcile DIDV/EIDV records from the correct source.",,09/01/2025,,No,,,Second Line of Defense (2LoD) Review of First Line of Defense (1LoD) Activities,GCMT,No,,,,Technology,09/29/2025,"Root Cause
 Per review from GCMT and Engineering, the potential root cause appears to stem from data sourcing errors in how DIDV/EIDV status is referenced during Bitcoin eligibility checks:
 - In confirmed breach cases, customers had a DIDV record but lacked a corresponding EIDV record.
 - The control logic might have defaulted null DIDV values to “verified”, incorrectly granting eligibility.
 

 This indicates a potential data sourcing error, where the system feeding Bitcoin access decisions does not consistently utilize or reconcile DIDV/EIDV records from the correct source.",Risk Acceptance,Kay Feker,Melody Xu,,,,Valid,United States,Cash - Product - Bitcoin,,"Product
 Sub-Product",,,,Cash App,,BTC,Risk Acceptance,,,09/29/2025,09/29/2026,"Risk accepted. 
 Product Compliance (PCM) agrees with the business that the risk posed by the residual exception rate of 0.28% is deemed acceptable without further investigation or corrective action. The affected population is small enough, and there is a known challenge that customers who currently use dIDV as a fallback IDV method have sometimes experienced these challenges. All customers who interact with BTC withdrawals at least have dIDV. There is no concern that KYC is insufficient for these customers. As such, the risk is deemed acceptable.",Low,Weakness – the process or control exists but is not strong enough or is not operating effectively to manage the risk.,"Minimal, localized consequences with negligible impact on overall business operations or reputation. Escalation is unlikely due to effective containment or the isolated nature of the issue.",Strategic | Internal Strategic | Emerging Products (1000008),Yes,No,Approve: Accept Issue,Melody Xu,10/06/2025,10/07/2025,11/21/2025,,,,,1,,1,0,0,09/29/2026,1005282,10/01/2025,,,,1000661 (1000661),,Issue,Retire Issue Risk Acceptance,,No,No,No,No,,,,,10/07/2025 7:42:00 AM,Melody Xu,12/24/2025 10:44:40 AM,Jane Lin,active,New Module
1005295,Risk Accepted,Cash - Product - Bitcoin,,The Lower $ limits for new accounts and Limit on # of withdrawals for all accounts fails in some instances,"Control Description:
 1. Lower BTC withdrawals $ limits to $1K/week for new accounts under 90 days old
 2. Limit # of BTC withdrawals to 20 per week
 

 Testing Results: 
 For the adjusted time period of 4/9/2025 - 6/1/2025, the following failure rate was observed: 
 [Restrict BTC Withdrawals] Limit on # of withdrawals for all accounts : 0.1% failure rate
 [Restrict BTC Withdrawals] Lower $ limits for new accounts: 2.48% failure rate
 

 Notably, the majority of breaches clustered close to the $1,020 threshold (typically in the $1,030–$1,100 range). A small “fuzzy” buffer of $20 above the $1,000 limit was applied in the testing results.This buffer was introduced to minimize borderline false positives driven by FX rounding, fee treatment, timestamp variances between source tables, or minor currency normalization differences, and was applied in agreement with control owners.
 

 Root Cause
 Further manual review and investigation confirmed that the sampled cases represented true breaches of the control thresholds. Potential root causes include:
 - Misaligned anchoring timestamps across transaction types
 - Latency in SSN connection data
 - Variances introduced by retrospective reconciliation of BTC exchange rates and fees",,09/01/2025,,No,,,Second Line of Defense (2LoD) Review of First Line of Defense (1LoD) Activities,GCMT,No,,,,Technology,09/29/2025,"Root Cause
 Further manual review and investigation confirmed that the sampled cases represented true breaches of the control thresholds. Potential root causes include:
 - Misaligned anchoring timestamps across transaction types
 - Latency in SSN connection data
 - Variances introduced by retrospective reconciliation of BTC exchange rates and fees",Risk Acceptance,Kay Feker,Melody Xu,,,,Valid,United States,Cash - Product - Bitcoin,,"Product
 Sub-Product",,,,Cash App,,BTC,Risk Acceptance,,,09/29/2025,09/29/2026,"Risk accepted. 
 Product Compliance (PCM) aligns with the business that the risk posed by the residual exception rate of 2.48% is deemed acceptable without further investigation or corrective action. The impacted population is small, the limit on number of withdrawals and lower $ limit were not implemented as permanent solutions. The plan was always to evaluate the effectiveness of these controls to determine a longer term implementation. As such, the risk is deemed acceptable.",Low,Weakness – the process or control exists but is not strong enough or is not operating effectively to manage the risk.,"Minimal, localized consequences with negligible impact on overall business operations or reputation. Escalation is unlikely due to effective containment or the isolated nature of the issue.",Strategic | Internal Strategic | Emerging Products (1000008),No,No,Approve: Accept Issue,Melody Xu,10/06/2025,10/07/2025,11/21/2025,,,,,1,,,,,09/29/2026,1005295,10/01/2025,,,,1000664 (1000664),,Issue,,,No,No,No,No,,,,,10/07/2025 9:48:10 AM,Melody Xu,11/24/2025 2:56:20 PM,protecht.consulting,active,New Module
1005940,Closed,Counsel - Cash Compliance,,General Availability percentage was not at 100% as reported by Compliance,"Background
 Compliance relies on accurate GA (General Availability) rollout documentation to determine when controls are fully operational and when performance testing can meaningfully begin. GA 100% dates are referenced in Compliance trackers, PRDs, and may also be relied upon by regulators or banking partners.
 

 Issue
 For all six controls subject to this review, Compliance trackers and applicable PRDs recorded GA 100% rollout as occurring in Q4 2024. Product and Engineering teams later clarified that:
 

 - 5% Holdouts (5 controls — e.g., limit on number of withdrawals, lower $ limits for new accounts, liveness verification, compliance exclusion list, and other Bitcoin eligibility controls): A deliberate 5% holdout population was maintained until April 8, 2025 to enable impact measurement. Per Product, this approach was communicated to and approved by Product and Product Compliance leadership through meeting updates and Slack communications.
 

 - 50% Rollout (1 control — eIDV + dIDV as a BTC access requirement): The eIDV + dIDV control remained at 50% rollout from Dec 2024 through April 2025, not by design but due to a human error. This reduced coverage was not communicated to Compliance, who had documented December 2024 as the GA date.",,09/01/2025,,No,,,Second Line of Defense (2LoD) Review of First Line of Defense (1LoD) Activities,GCMT,No,,,,Process,09/29/2025,"The governance process for control rollout needs to be enhanced to confirm exact GA launch timeline for key controls: 
 Update Existing Documentation: Ensure the actual GA timeline is updated consistently across all existing sources of record — product/engineering trackers, compliance trackers, management reporting, and PRDs.
 

 Integrate GA Documentation into LRD / CRD Workflow: As part of the new process, ensure that GA 100% rollout dates are explicitly documented and linked to each control requirement. GA dates should be included as required fields in the LRD, alongside compliance approvals.
 

 Attestation at Post-Launch Review: Require Compliance to attest to GA 100% dates during the post-launch review phase, using evidence from Engineering/Product rollout data (e.g., Amplitude experiments, holdout closure). This serves as the reconciliation step to confirm implementation matches the LRD and provides a governance checkpoint.",All teams with relevant documents will update them accordingly with the accurate launch dates. PCM will align with compliance team to implement launch date confirmation procedures for post launch review.,Sondah Ouattara,Melody Xu,,,,Valid,United States,Cash - Product - Bitcoin,,Product,,,,Cash App,,,Remediation,01/01/2026,,,,,Low,Weakness – the process or control exists but is not strong enough or is not operating effectively to manage the risk.,"Minimal, localized consequences with negligible impact on overall business operations or reputation. Escalation is unlikely due to effective containment or the isolated nature of the issue.",Strategic | Internal Strategic | Emerging Products (1000008),No,No,Approve: Remediate Issue,Melody Xu,10/06/2025,10/07/2025,11/21/2025,1,11/11/2025,,12/01/2025,,,,2,0,01/01/2026,1005940,10/01/2025,,,"Correct documentation for GA timeline (1001980)
 Correct documentation for GA timeline (1001984)",,,Issue,Completed Issue Remediation,"Per review of the following updated documentation, tester confirmed the issue had been remediated via tracking correct GA and control/process timeline for compliance controls in-scope. 
 

 Product has a document now with specific launch dates consistent with when the features were implemented or sunset (https://docs.google.com/document/d/1MB05oRQqkDdiFLp-HMVn9ezoj4_cSaCTyFwNhpMHOFA/edit?tab=t.0#heading=h.2o3ugsbhu2a).
 Moreover, the PCM tracker has been updated to reflect the accurate dates (https://docs.google.com/spreadsheets/d/1I-NA7RCPLJXDekrtokiY4SoERtYgilAWLoN8SV7Eli0/edit?pli=1&gid=641678120#gid=641678120).",Yes,Yes,Yes,Yes,Accept,"er review of the following updated documentation, tester confirmed the issue had been remediated via tracking correct GA and control/process timeline for compliance controls in-scope. 
 

 Product has a document now with specific launch dates consistent with when the features were implemented or sunset (https://docs.google.com/document/d/1MB05oRQqkDdiFLp-HMVn9ezoj4_cSaCTyFwNhpMHOFA/edit?tab=t.0#heading=h.2o3ugsbhu2a).
 Moreover, the PCM tracker has been updated to reflect the accurate dates (https://docs.google.com/spreadsheets/d/1I-NA7RCPLJXDekrtokiY4SoERtYgilAWLoN8SV7Eli0/edit?pli=1&gid=641678120#gid=641678120).",Melody Xu,11/10/2025,10/07/2025 10:55:27 AM,Melody Xu,11/11/2025 5:11:36 AM,Melody Xu,active,New Module
1006603,Open,Insider Risk,,Security Risk: Lack of Link Sanitization and Handling Protocols for Customer-Provided External Links,"A critical security vulnerability was identified within our Customer Success (CS) operations, specifically concerning external links embedded by customers in either their In-App communications or within documents uploaded through SendSafely (following CS requested supporting documentation). The issue was discovered internally during review of case #189243245, where suspicious links prompted the first known escalation to scaled operations. The vulnerability stems from two key gaps: the absence of automated security measures to sanitize or deactivate potentially harmful embedded links in uploaded documents, and the lack of proper guidance in Advocate Knowledge Articles (KAs) for handling external links received from customers. This security gap has resulted in decreased operational efficiency, extended case resolution times, inconsistent customer experiences, and reduced advocate confidence in decision-making, highlighting the need for immediate system-level security improvements and clear operational procedures.",07/10/2025,07/10/2025,,No,,,Self-Identified - First Line of Defense (1LoD),Customer Success,No,,,,Technology,10/07/2025,"Advocates received a url through Cash App (in app) messaging from the customer and were able to click on a potentially harmful link (concern escalated by the Advocate). The link received was live (not stripped) so the system was allowing this risk to be there. The intent was missed when building out the in-app messaging technology, where it should strip live links out automatically, so Advocates cannot accidentally expose the customer to security risk. Root cause: Inadequately executed Technology Solution.","Develop a systemic guardrail to prevent links from being live or preventing customers from being able to send them through in-app messaging. If there are any changes needed to Customer Success Knowledge Articles (KA's), ensure they are updated.",Meagan Freshour,Ajay Paul,,Georgia Desper,Georgia Desper,Valid,United States,Cash,,,,,,,,,Remediation,07/05/2026,,,,,Moderate,Weakness – the process or control exists but is not strong enough or is not operating effectively to manage the risk.,Operational gap or process failure exposing the company to security risks/vulnerabilities,Technology | Information Security | Cybersecurity (1000148),No,No,Approve: Remediate Issue,Georgia Desper,02/19/2026,12/10/2025,11/22/2025,,,,05/25/2026,,,,1,1,07/05/2026,1006603,08/09/2025,,,Security Risk: Lack of Link Sanitization and Handling Protocols for Customer-Provided External Links (1002642),,,Issue,,,No,No,No,No,,,,,10/08/2025 3:52:26 AM,Georgia Desper,02/20/2026 8:20:43 AM,Georgia Desper,active,New Module
1006606,Closed,Risk Ops Disputes - Channel Lead,,Android Claims Evidence Upload Failure Due to Invalid URL Formatting (INC-5859),"On March 16, 2025, SEV-5859 was identified running concurrently with SEV-5845 (referenced in INTAKEFORM-141), both of which involved invalid link usage in the claims processing system. While related in nature, SEV-5859 specifically impacted customers who encountered issues with the evidence upload flow expiration and invalid link usage. The primary impact manifested in a subset of Android customers who were unable to upload evidence for their claims due to improper URL formatting in the system.
 

 

 The incident required coordinated remediation efforts between both events due to their overlapping nature. The Engineering team implemented a technical fix on July 2, 2025, which resolved the URL formatting issues and eliminated further customer impact. The resolution addressed both the immediate URL formatting concerns and the underlying link validation problems that had been affecting the Android platform from March 16, 2025, to July 2, 2025.",03/16/2025,04/04/2025,,No,,,Self-Identified - First Line of Defense (1LoD),Risk Operations,Yes,INC-5859,,,Process,09/29/2025,"A recent deployment to the Postmaster service introduced an issue affecting the in-app evidence upload functionality. When customers receive push notifications on Android devices containing the upload link, they are unable to initiate the upload flow due to incorrect URL decoding by Postmaster. The service, which is responsible for sending these notifications, is now malforming the URLs during the notification delivery process, causing errors when customers attempt to access the upload feature.","Action #1: Review any new claims that were added to the impacted list after the latest analysis was completed. (Juan Torrente Corbett) - Complete
 

 Action #2: Obtain Necessary Approvals for Communication Distribution: Partnerships, Counsel and/or Compliance, where applicable. (Juan Torrente Corbett) - 12/01/2025
 

 Action #3: Risk Operations to review the impacted population and determine/perform remediation. This includes: Comms Distribution, Financial reimbursement (via the app for open accounts and via check for closed accounts, where applicable). (Juan Torrente Corbett) - 12/01/2025
 

 Action #4: Closure of SEV-5859 (related to this issue): Visual confirmation that the issue is closed, and confirmation that the fix is working as designed (Kiran Sudhir) - 12/12/2025
 

 Action #5: Risk Business Partner to work in tandem with the Issue Owner to create/enhance Controls, if applicable. (Wendy Yan) - 01/30/2026
 

 Action #6: Issue Management Validation (Corey Griggs) - 02/13/2026",Jake McKernan,Anisha Sakariya-Patel,,Corey Griggs,,Valid,United States,Risk Ops Disputes - Team Lead,,,,,,,,,Remediation,02/13/2026,,,,,High,"Deficiency – the process or control does not meet required standards, policies, or regulatory expectations.",Operational Gap or Process Failure resulting in an impact to regulatory obligations.,Operational | Transactional | Transaction Processing (1000052),Yes,Yes,Approve: Remediate Issue,Anisha Sakariya-Patel,12/04/2025,12/06/2025,11/22/2025,1,02/12/2026,02/06/2026,02/13/2026,,,,1,0,02/13/2026,1006606,05/04/2025,On Track,Remediation completed. Working on validation and will prep for closure 2/9/26.,Android Claims Evidence Upload Failure Due to Invalid URL Formatting (INC-5859) (1002645),,,Issue,Completed Issue Remediation,Issue reviewed and closed,Yes,Yes,Yes,Yes,Accept,Approved based on completed validation with Issue Management and no outstanding action plans.,Anisha Sakariya-Patel,02/11/2026,10/08/2025 6:55:14 AM,Corey Griggs,02/12/2026 10:46:49 AM,Anisha Sakariya-Patel,active,New Module
1007262,Draft - RCA in Progress,Counsel - Compliance,,Lack of process to accommodate persons with disabilities while verifying identity.,"An accessibility-related complaint has helped identify a gap in how we support customers with disabilities. A customer, citing a disability, expressed frustration on LinkedIn about their inability to resolve a service problem. A Cash Complaints Operations Team (CCOT) Group Lead found related cases tied to the customer - each with accessibility-related concerns. 
 The customer was trying to authenticate themselves but their disability prevented them from being able to go through Cash App’s normal process, which is taking a selfie with your ID. The customer is unable to lift their arm to take selfies. 
 This specific issue can be solved with more inclusive options for verifying identity. Additionally, as part of resolving this issue, Block’s obligations to the ADA need to be identified and a risk assessment needs to take place to determine if there are additional gaps that need to be addressed in a separate issue(s).",,10/08/2025,,,,,Self-Identified - Second Line of Defense (2LoD),Tiffanie Brown,,,,,,,,,,,,,,Valid,,,,,,,,,,,Remediation,,,,,,Not Yet Determined,,,,,,Do Not Approve: Requires further Information,,,,11/23/2025,,,,,,,,,,,1007262,11/07/2025,,,,,,Issue,,,No,No,No,No,,,,,10/09/2025 7:12:17 AM,Daniella Corcuera,10/09/2025 7:22:53 AM,Daniella Corcuera,active,New Module
1007267,Draft - RCA in Progress,Counsel - Square Compliance,,Block's Executive/Press Complaints ETS Extension,"An Extension of an April 2024 Exception Request
 

 The organization lacks a centralized complaint intake pathway and clear definitions for what constitutes an executive level complaint resulting in inconsistent handling, reporting, and oversight across teams. Complaints are currently received through multiple uncoordinated sources, many of which are not integrated with the various CRM systems. This fragmentation leads to operational inefficiencies, unclear ownership, and the over-processing of non-complaint inquiries. The core issues include the absence of a standardized intake process, undefined complaint categories, and limited communication on where and how complaints should be submitted. Addressing this issue will require establishing a single CRM-connected complaint funnel, standardizing definitions, and improving communication to ensure consistent complaint management and regulatory alignment across all business units.",,09/03/2025,,,,,Self-Identified - First Line of Defense (1LoD),Robert Stern,,,,,,,,,,,,,,Valid,,,,,,,,,,,,,,,,,Not Yet Determined,,,,,,Do Not Approve: Requires further Information,,,,11/23/2025,,,,,,,,,,,1007267,10/03/2025,,,,,,Issue,,,No,No,No,No,,,,,10/09/2025 8:56:22 AM,Tiffanie Brown,11/13/2025 9:12:21 AM,Tiffanie Brown,active,New Module
1007269,Rejected,Counsel - Square Compliance,,Inability to Remove Former Authorized Persons from Square Accounts,"Due to system limitations, Square is currently unable to remove the details of former directors or authorized persons from company accounts. This limitation constitutes a breach of ASIC Regulatory Guide 271 (RG 271), which requires firms to maintain effective complaint resolution processes. In practice, when the merchant complained about removal of a former director, and Square responded that its systems cannot do it, AFCA determined that to be a breach of RG 271.
 

 Square is now exposed to compliance, reputational, and financial risk. In the cited case, Square was ordered to compensate the complainant AUD 1,000 (USD 660) for stress and inconvenience caused by our inability to remove a director’s details. If financial loss had occurred, compensation would have been higher.",,10/01/2025,,,,,Regulatory Identified,Briana Peterkin,No,,,,Process,11/12/2025,Square’s TOA limitations root cause has been identified as KYC/KYB gaps,"Square’s TOA limitations, along with broader KYC/KYB gaps, are being addressed through the KYC Refresh initiative, a major cross-functional program scheduled for delivery in H2 2026. The initiative includes:
 Periodic merchant re-verification (annual, 3-year, 5-year), based on risk.
 Enhanced beneficial ownership change tracking, aligned with regulatory expectations.
 New self-service ownership transfer capability, classified as a “should-have” for the 2026 launch.
 Dedicated support from Compliance, Legal, Engineering, Design, and contractor resources.",,Tiffanie Brown,,,,Valid,Australia,Square,,,,,,,,,Not an Issue,,"This potential Issue was not identified by Complaints and is being remediated under the KYC/KYB Refresher. 
 Square’s TOA limitations, along with broader KYC/KYB gaps, are being addressed through the KYC Refresh initiative, a major cross-functional program scheduled for delivery in H2 2026. The initiative includes:
 Periodic merchant re-verification (annual, 3-year, 5-year), based on risk.
 Enhanced beneficial ownership change tracking, aligned with regulatory expectations.
 New self-service ownership transfer capability, classified as a “should-have” for the 2026 launch.
 Dedicated support from Compliance, Legal, Engineering, Design, and contractor resources.",,,,Not Yet Determined,,,,,,Approve: Not an Issue,Tiffanie Brown,12/05/2025,,11/23/2025,,,,,,,,,,,1007269,10/31/2025,,,,,,Issue,,,No,No,No,No,,,,,10/09/2025 9:20:59 AM,Tiffanie Brown,12/06/2025 9:52:37 AM,Tiffanie Brown,active,New Module
