ID,Status,Business Unit,Issue ID,Action Plan Name,Issue Source,Action Plan Description,Action Plan Validation Steps,Linked to Regulatory Engagements,Technology Dependent,Action Plan Target Date,Action Plan Validation Target Date,Action Plan Owner,Action Plan Approver,Action Plan Owner Record Manager,Action Plan Approver Record Manager,Interested Parties,Hyperlinks,fxValidateRoleAssignments,Action Plan Linked To,Action Plan Health Check,Progress Updates,Issue - Target Closure Date,Action Plan Start Date,Due Date Extension Count,Validation Failure Count,Original Action Plan Target Date,Current Action Plan Target Date,State at Last Save,Date Action Plan Closed,Override - All,Override - Users,Due Date Extensions,Extension Issue ID,Extension Type,Requested Closure Type,Closure Request Justification,Confirm Action Plan Record Complete,Confirm Closure Validation,Closure Validation Justification,Action Plan Closure Sign-Off,Action Plan Closure Sign-off Date,Confirm Secondary Validation,Secondary Validation Comments,Secondary Validation Sign-Off,External Validation Sign-off Date,Engagements,Original Register,Original ID,Original Created Date,Original Closed Date,Original Link,Migrated Record,Create Date,Created By,Last Modified Date,Last Modified By,System Status
1000671,Completed,Cash - PE - Financial Products - Bitcoin - Bitcoin Network,,Fix the relevant bug and adjust logic and deploy,Self-Identified - Second Line of Defense (2LoD),"Fix the system bug impacting denylist enforcement and configure system logic so that denylist status is prioritized over all other business eligibility checks, ensuring prohibited BTC on-chain and Lightning Network (LTN) transactions by denylisted customers are blocked.","Tester reviewed the Launch PR below and confirmed the remediation were performed prior to report issuance: 
 1) This bug was fixed: https://github.com/squareup/cash-server/pull/16767
 

 2) The system was updated to prioritise denylisting over any business eligibilities: https://github.com/squareup/cash-server/pull/29314",,,10/01/2025,10/01/2025,Milly Rowett,Melody Xu,,,,,Valid,Issue Management | Issue Management Program | ID 1001980,,The action is closed - refer to action descriptions and issue closure details,10/01/2025,10/02/2025,,,10/01/2025,10/01/2025,Completed,10/02/2025,FALSE,,,1000671,Action Plan,Completed Action Plan,The action is closed - refer to action descriptions and issue closure details,No,Accept,The action is closed - refer to action descriptions and issue closure details,Melody Xu,10/01/2025,,,,,,,,,,,,10/02/2025 2:32:02 AM,Melody Xu,11/19/2025 9:44:28 AM,Jane Lin,active
1001320,Completed,Counsel - Cash Compliance,,Southwest Border GTO – CTR Reporting Exception Remediation and Validation,Self-Identified - First Line of Defense (1LoD),"This action plan addresses the CTR reporting exception that resulted in three paper money deposits on April 14, 2025, being initially missed by Cash App’s Exception Monitoring Report within the scope of FinCEN’s Southwest Border GTO.","-Ensure all CTR-eligible transactions are detected and reported in compliance with GTO requirements.
 -Correct the flawed Exception Monitoring Report logic to ensure proper timezone conversion.
 -File late CTRs with FinCEN.
 -Conduct retrospective review for additional missed exceptions.",,,11/01/2025,12/01/2025,Anastasiya Magic,Ken Triemstra,,Megan Zheng,,,Valid,,,,11/01/2025,10/03/2025,,,11/01/2025,11/01/2025,Completed,10/29/2025,FALSE,,,1001320,Action Plan,Completed Action Plan,"This MAP is has been addressed by completing the following:
 3 Late CTRs filed (Sept 15, 2025)
 Engineering fix controls (Sept 15, 2025)
 Comprehensive review to ensure no other exceptions (completed Sept 15, 2025)
 Conversation with InComm concerning GTO implementation ensuring compliance with rule (Sept 25, 2025).",Yes,Accept,"This MAP is has been addressed by completing the following:
 3 Late CTRs filed (Sept 15, 2025)
 Engineering fix controls (Sept 15, 2025)
 Comprehensive review to ensure no other exceptions (completed Sept 15, 2025)
 Conversation with InComm concerning GTO implementation ensuring compliance with rule (Sept 25, 2025).",Ken Triemstra,10/28/2025,,,,,,,,,,,,10/03/2025 3:58:05 AM,Megan Zheng,11/19/2025 9:44:28 AM,Jane Lin,active
1001323,Completed,External Complaints Program - Group Lead,1299044,Remediation of Cashapp’s External (CFBP) Complaints SLA 60-day breach,Self-Identified - Second Line of Defense (2LoD),The action plan is designed to restore compliance with the 60-day CFPB SLA by addressing backlog and ensuring sustained stabilization.,"Action 1: Implement the “Hold the Line” Strategy
 Establish a cutoff date of September 10th, beyond which all new complaint inflow will be protected.
 Redirect the majority of staff to focus forward, ensuring new inflow is resolved within SLA and building a 9-day protective buffer.
 Deploy a smaller, dedicated backlog crew to work backward and steadily reduce overdue exposure without compromising forward protection.
 

 Action 2: Maintain a Forward Protection Team
 Create a dedicated ‘Hold the Line’ team assigned exclusively to complaints due after the September 10th cutoff.
 This team will focus solely on maintaining a forward buffer so that new inflow never falls out of SLA again.
 

 Action 3: Drive Backlog Reduction
 Assign a weekday backlog team dedicated to addressing cases older than the cutoff date.
 Supplement efforts with voluntary overtime and weekend shifts to accelerate backlog reduction.
 Apply additional support from supplemental staffing as resources become available, ensuring steady progress until the backlog is eliminated.",,,10/31/2025,10/31/2025,Seth McKenzie,Tiffanie Brown,,,Michael Quarton,,Valid,,On Track,,,10/03/2025,,,10/31/2025,10/31/2025,Completed,11/01/2025,FALSE,,,1001323,Action Plan,Completed Action Plan,"All elements of the action plan have either been successfully executed or are in a stable, controlled trajectory with continued improvement. Specifically:
 

 SLA performance has exceeded the original 60-day goal and is on pace to meet more aggressive 45- day target.
 

 Backlog reduction has been steady and outpaced inflow for multiple consecutive weeks.
 

 Staffing and training investments (20 individuals) have begun yielding measurable throughput improvements.
 

 Forward protection buffers have been preserved, preventing SLA breaches for new inflow.
 

 Known risks have been mitigated or are actively managed with minimal impact on core metrics.
 

 Given these results, the conditions set forth in the action plan have been satisfied. The strategy has not only stabilized complaint operations but also positioned the team for long-term performance gains. Closure of this action plan is therefore recommended.",Yes,Accept,All Action Plan items have been met or exceed the goal.,Tiffanie Brown,10/31/2025,,,,,,,,,,,,10/03/2025 10:53:08 AM,Tiffanie Brown,11/19/2025 9:44:28 AM,Jane Lin,active
1001326,In Progress,External Complaints Program - Group Lead,1001326,Cashapp’s External (CFBP) Complaints SLA 15 day Compliance,Self-Identified - First Line of Defense (1LoD),Scaled workforce capacity that ensures SLA compliance even under higher complaint volumes.,"Action 1: Uplift and Streamline Complaint Handling (Single Complaint Handler Model)
 Implement the Single Complaint Handler (SCH) model to reduce redundancy and improve accountability.
 Streamline workflows to ensure individual ownership and faster resolution.
 Update and enhance documentation to improve usability and enable consistent execution.
 Intended Outcome: Increased handler efficiency, reduced cycle times, and improved overall SLA compliance.
 

 Action 2: Expedite Responses for Low-Risk Complaint Populations
 Identify complaint populations eligible for standardized templated responses with a high confidence rate.
 Launch a 90-day pilot beginning August 20, 2025, with approved low-risk categories.
 Monitor outcomes and evaluate effectiveness for sustained efficiency gains.
 Expand implementation across all complaint intake channels following pilot validation.
 Intended Outcome: Faster resolution of low-risk cases, creating additional capacity for complex complaints.
 

 Action 3: Increase CCOT Capacity
 Hire 20 additional complaint handlers during Q3–Q4 2025.
 Ensure new hires are onboarded, trained, and at full productivity by year-end.
 Adjust staffing models proactively to hedge against future complaint volume increases.
 

 Intended Outcome: Scaled workforce capacity that ensures SLA compliance even under higher complaint volumes.",,,05/31/2026,02/04/2026,Seth McKenzie,Tiffanie Brown,,,Michael Quarton,,Valid,,On Track,Action Plan Validation Date to be 04/15/2026,,10/03/2025,1,,02/04/2026,05/31/2026,In Progress,,FALSE,Jane Lin,1002645 (1002645),1001326,Action Plan,,,No,,,,,,,,,,,,,,,,10/03/2025 10:57:37 AM,Tiffanie Brown,02/07/2026 9:14:36 AM,Tiffanie Brown,active
1001980,Completed,Counsel - Cash Compliance,,Correct documentation for GA timeline,Second Line of Defense (2LoD) Review of First Line of Defense (1LoD) Activities,All teams with relevant documents will update them accordingly with the accurate launch dates. PCM will align with compliance team to implement launch date confirmation procedures for post launch review.,Review relevant documents and confirm the updates had been made,,,12/01/2025,01/01/2026,Sondah Ouattara,Melody Xu,,,,,Valid,Issue Management | Issue Management Program | ID 1005940,,,12/01/2025,10/07/2025,,,12/01/2025,12/01/2025,Completed,11/11/2025,FALSE,,,1001980,Action Plan,Completed Action Plan,"Product has a document now with specific launch dates consistent with when the features were implemented or sunset (https://docs.google.com/document/d/1MB05oRQqkDdiFLp-HMVn9ezoj4_cSaCTyFwNhpMHOFA/edit?tab=t.0#heading=h.2o3ugsbhu2a).
 

 Moreover, the PCM tracker has been updated to reflect the accurate dates (https://docs.google.com/spreadsheets/d/1I-NA7RCPLJXDekrtokiY4SoERtYgilAWLoN8SV7Eli0/edit?pli=1&gid=641678120#gid=641678120).",Yes,Accept,"The PCM tracker had been updated accordingly to reflect the actual launch dates of the in-scope controls. No exceptions Noted. Action is closed. 
  https://docs.google.com/spreadsheets/d/1I-NA7RCPLJXDekrtokiY4SoERtYgilAWLoN8SV7Eli0/edit?pli=1&gid=641678120#gid=641678120",Melody Xu,11/07/2025,,,,,,,,,,,,10/07/2025 11:02:35 AM,Melody Xu,11/11/2025 5:03:01 AM,Melody Xu,active
1001984,Completed,Cash - Product - Bitcoin,,Correct documentation for GA timeline,Second Line of Defense (2LoD) Review of First Line of Defense (1LoD) Activities,All teams with relevant documents will update them accordingly with the accurate launch dates. PCM will align with the compliance team to implement launch date confirmation procedures for post launch review.,Review the relevant documents and confirm their updates.,,,12/01/2025,01/01/2026,Kay Feker,Melody Xu,,,,,Valid,Issue Management | Issue Management Program | ID 1005940,,I updated the PRDs/eng. docs with the GA dates,12/01/2025,10/07/2025,,,12/01/2025,12/01/2025,Completed,11/11/2025,FALSE,,,1001984,Action Plan,Completed Action Plan,"Product has a document now with specific launch dates consistent with when the features were implemented or sunset (https://docs.google.com/document/d/1MB05oRQqkDdiFLp-HMVn9ezoj4_cSaCTyFwNhpMHOFA/edit?tab=t.0#heading=h.2o3ugsbhu2a). Per review of the document, tester confirmed the action had been completed. Given action owner was on leave, tester received the attached document via delegate from PCM.",No,Accept,"Product has a document now with specific launch dates consistent with when the features were implemented or sunset (https://docs.google.com/document/d/1MB05oRQqkDdiFLp-HMVn9ezoj4_cSaCTyFwNhpMHOFA/edit?tab=t.0#heading=h.2o3ugsbhu2a). Per review of the document, tester confirmed the action had been completed. Given action owner was on leave, tester received the attached document via delegate from PCM.",Melody Xu,11/10/2025,,,,,,,,,,,,10/07/2025 11:05:16 AM,Melody Xu,11/11/2025 5:06:49 AM,Melody Xu,active
1002642,Draft,CCO Messaging - Group Lead,1006603,Security Risk: Lack of Link Sanitization and Handling Protocols for Customer-Provided External Links,Self-Identified - First Line of Defense (1LoD),"- Action #1a: Identify all existing CS Voice & Messaging Knowledge Articles(KAs) that contain Advocate work instructions on how to handle In-App communications and or request customers to upload supporting documentation, Action Owner: Johnny Stoneburner - Due Date: 10/10/25
  - Action #1b: Ensure all related work instructions are updated to provide Advocates with the appropriate guidance on escalation and NOT clicking on embedded links provided by customers, Action Owner: Johnny Stoneburner - Due Date: 10/31/25
  - Action #2a: Submit funnel ticket request to engage the appropriate partners to prioritize develop a systemic guardrail to auto-strip embedded links from uploaded SendSafely documents, Action Owner: Rekha Poovathingal Shivaprakash - Due Date: 9/30/25 (Completed)
  - Action #2b: Ensure the technology is thoroughly tested and implemented, Action Owner: Rekha Poovathingal Shivaprakash - Due Date: 5/8/26
  - Action #3: Issue Management Team to review all corrective action supporting documents (1&2 Actions) and validate they are sufficient to support completion of these actions & issue closure. This step also includes ensuring that the Issue Owner is aligned with all supporting evidence, Action Owner: Georgia Desper - Due Date: 5/25/26","- Action #1: Review of the published Knowledge Articles to make sure guidance is clear on how to handle if an embedded link is received via in-App communications (or via Sendsafely)
  - Action #2: Test to ensure the system automatically strips the url from the link if received.
  - Action #3: Issue Management Team to review all supporting evidence and validate they are sufficient to support completion of actions 1&2 (pre-closure of the issue)",,,05/25/2026,05/25/2026,Rekha Poovathingal Shivaprakash,,,,Georgia Desper,,Valid,Issue Management | Issue Management Program | ID 1006603,,,05/25/2026,,,,,05/25/2026,Draft,,FALSE,,,1002642,Action Plan,,,No,,,,,,,,,,,,,,,,10/08/2025 4:33:33 AM,Georgia Desper,01/03/2026 4:11:16 AM,Jane Lin,active
1002645,Completed,Risk Ops Disputes - Channel Lead,1006606,Android Claims Evidence Upload Failure Due to Invalid URL Formatting (INC-5859),Self-Identified - First Line of Defense (1LoD),"Action #1: Review any new claims that were added to the impacted list after the latest analysis was completed. (Juan Torrente Corbett) - Complete
 

 Action #2: Obtain Necessary Approvals for Communication Distribution: Partnerships, Counsel and/or Compliance, where applicable. (Juan Torrente Corbett) - 12/01/2025
 

 Action #3: Risk Operations to review the impacted population and determine/perform remediation. This includes: Comms Distribution, Financial reimbursement (via the app for open accounts and via check for closed accounts, where applicable). (Juan Torrente Corbett) - 12/01/2025
 

 Action #4: Closure of SEV-5859 (related to this issue): Visual confirmation that the issue is closed, and confirmation that the fix is working as designed (Kiran Sudhir) - 12/12/2025
 

 Action #5: Risk Business Partner to work in tandem with the Issue Owner to create/enhance Controls, if applicable. (Wendy Yan) - 01/30/2026
 

 Action #6: Issue Management Validation (Corey Griggs) - 02/13/2026","Review all evidence to ensure all actions are met with satisfaction and support issue closure, including validating remediation performed by the Business.",,,02/13/2026,02/13/2026,Jake McKernan,Corey Griggs,,,,,Valid,Issue Management | Issue Management Program | ID 1006606,On Track,Issue ready for closure.,,12/06/2025,,,02/13/2026,02/13/2026,Completed,02/12/2026,FALSE,,,1002645,Action Plan,Completed Action Plan,Reviewed and approved.,Yes,Accept,No findings identified during validation. Issue is ready for closure.,Corey Griggs,02/11/2026,,,,,,,,,,,,10/08/2025 7:18:29 AM,Corey Griggs,02/12/2026 2:52:34 AM,Corey Griggs,active
1003301,Completed,Counsel - Square Compliance,,"Compliance Operations will continue to monitor SLAs, update the SOP with required information and go through documentation requirements with team members assessing cases on Regulator.",Self-Identified - Second Line of Defense (2LoD),Compliance Ops will continue to monitor SLAs to ensure all cases including SSPs are handled in a timely manner and will update the SOP to include a link to the CRR as an additional resource. Compliance Ops will go through the SOP with the team to ensure all are following the standard EDD commentary requirements,"Action approver will need to validate SLAs are handled in a timely manner. 
 The SEL KYC Procedure should include a link to the related CRR model 
 The UK Seller KYC Standard Operating Procedure (Master) will be updated to state the following:
 - Enhanced monitoring must be performed for all approved PEPs or declined.",,,12/31/2025,12/31/2025,Stephanie Aparicio,Amber Malik,,,,,Valid,Issue Management | Issue Management Program | ID 1007935,,"This action plan has been completed as evidenced by three key actions:
 - The Square KYC Compliance Ops Team Lead - UK/EU/US/CA continues to monitor SLAs to ensure they are handled within the required timeframe. 
 The UK Seller KYC Standard Operating Procedure (Master) has been updated to include all required elements
 The Team Lead has conducted one-on-one sessions with team members to review procedures and ensure compliance with EDD requirements.
 Refer to supporting evidence for further details.",12/31/2025,11/12/2025,,,12/31/2025,12/31/2025,Completed,12/23/2025,FALSE,,,1003301,Action Plan,Completed Action Plan,"This action plan has been completed as evidenced by three key actions:
 - The Square KYC Compliance Ops Team Lead - UK/EU/US/CA continues to monitor SLAs to ensure they are handled within the required timeframe. 
 The UK Seller KYC Standard Operating Procedure (Master) has been updated to include all required elements
 The Team Lead has conducted one-on-one sessions with team members to review procedures and ensure compliance with EDD requirements.
 Refer to supporting evidence for further details.",No,Accept,"This action plan has been completed as evidenced by three key actions:
 - The Square KYC Compliance Ops Team Lead - UK/EU/US/CA continues to monitor SLAs to ensure they are handled within the required timeframe. 
 The UK Seller KYC Standard Operating Procedure (Master) has been updated to include all required elements
 The Team Lead has conducted one-on-one sessions with team members to review procedures and ensure compliance with EDD requirements.
 Refer to supporting evidence for further details.",Amber Malik,12/22/2025,,,,,,,,,,,,10/10/2025 11:01:44 AM,Amber Malik,12/23/2025 11:02:50 AM,Amber Malik,active
1003962,Completed,Cash - Product - Health,1009240,SEV-6022: Duplicate Cash-In Caused Unexpected Instant Transfer Fees & Potential Linked Bank Overdraft Fees,Self-Identified - First Line of Defense (1LoD),"- Action #1: Provide evidence of systemic containment/fix (what mitigated risk of further impacts). This solution automatically detects duplication and prevents processing / Owner: Trevor Luong / Target Date: 7/29/25 (Completed)
  - Action #2: Provide evidence on those likely impacted by an instant transfer fee where we proactively refunded/credited back the one instant transfer fee amount / Owner: Trevor Luong / Target Date: 8/4/25 (Completed)
  - Action #3a: Implement Server Monitoring alert for unintended double cash-ins / Owner: Candice McCollough / Target Date: 8/5/25 (Completed)
  - Action #3b: Implement Client Monitoring for unintended double cash-ins (both iOS and Android users). This entails:monitor parameters outside 99% range, Alerting #transfers-mobile-alerts and Response strategy / Owner: Kevin Veloso / Target Date: 7/31/25 (Completed)
  - Action #4: Align with Legal and Compliance on the communication strategy / Owner: Trevor Luong / Target Date: 8/25/25 (Completed)
  - Action #5: Pull & provide final impacted population (including Customer Token ID, dupe cash-in amount & where applicable instant transfer fee amount refunded), breaking into the following cohorts: Cohort A: Complained and Cohort B: Has Not Complained / Owner: Trevor Luong / Target Date: 10/30/25 (Completed)
  - Action #6: Align with Legal & Compliance on: Email Comms content for Cohort A, Regulator comment content for both Cohorts (A&B), Knowledge Article Content (ChaunCharae' Burch owning this sub-action) / Owner: Trevor Luong / Target Date: 10/31/25 (Completed)
  - Action #7: Submit Content Team request to: Have SendSafely Drop Zone & Link created and set up via Quicktext (can take up to 8 weeks to set up) , Publish related KA (to include reference to the Sendsafely link) / Owner: ChaunCharae' Burch / Target Date: 11/26/25 (Completed)
  - Action #8: Have bulk Account Level Comment applied via Regulator for advocate readiness (Dependent on completion of Action #7) / Owner: Trevor Luong / Target Date: 11/26/25 (Completed)
 - Action #9: Send batch email communications to Cohort A Customers via Regulator (Dependent on completion of Action #7) / Owner: Trevor Luong / Target Date: 1/9/26","- Action #10: IM Analyst to perform closure activities (collect all supporting evidence for actions 1 - 9, perform email comm validation and have internal QA performed). / Owner: Georgia Desper / Target Date: 1/30/26",,,01/09/2026,01/30/2026,Trevor Luong,Georgia Desper,,,,,Valid,Issue Management | Issue Management Program | ID 1009240,On Track,"Trevor Luong provided all necessary action plan supporting evidence which has been consolidated into the attached pdf ""Issue Summary Pre-Closure Package"" and prior to that was reviewed and approved by the Issue Owner (Josh King).",,12/05/2025,,,01/09/2026,01/09/2026,Completed,01/21/2026,FALSE,,,1003962,Action Plan,Completed Action Plan,I have confirmed and validated that all remediation actions have been completed and supporting evidence provided,Yes,Accept,I have reviewed all supporting documentation (contained within the attached Pre-closure summary package) and confirm it looks sufficient to call all remediation actions completed and validated. Issue is ready for closure review/approval by the Issue Owner.,Georgia Desper,01/20/2026,,,,,,,,,,,,10/11/2025 5:06:17 AM,Georgia Desper,01/21/2026 9:32:59 AM,Georgia Desper,active
